player,team,grade_old,grade_new,delta,rank_old,rank_new,pool,xp_per_90,xp_pass,residual,ip_p90,rank_gain
Maximilian Eggestein,SC Freiburg,6.93,5.81,-1.12,134,265,418,12.07,0.339,-1.39,2.97,-131
Bernardo Silva,Manchester City,7.11,6.0,-1.12,116,243,418,15.78,0.31,-1.08,3.38,-127
Idrissa Gana Gueye,Everton,7.33,6.18,-1.14,98,221,418,12.94,0.35,-1.41,3.28,-123
Gonzalo Villar,Elche,6.82,5.68,-1.14,145,281,418,10.27,0.356,-1.85,2.5,-136
Omar Mascarell,Mallorca,6.46,5.3,-1.15,189,324,418,9.7,0.316,-0.81,2.83,-135
Federico Valverde,Real Madrid,8.26,7.09,-1.17,31,118,418,18.4,0.354,-1.6,4.61,-87
Eric Martel,1. FC Köln,6.12,4.92,-1.2,228,369,418,11.62,0.297,-1.22,2.81,-141
Marc Aguado,Elche,6.27,5.0,-1.26,211,359,418,10.7,0.315,-1.43,2.54,-148
Éderson,Atalanta,7.41,6.14,-1.27,91,226,418,13.67,0.349,-1.61,3.33,-135
Jordan Henderson,Brentford,6.52,5.2,-1.32,181,336,418,9.36,0.332,-1.36,2.47,-155
Nicolò Rovella,Lazio,6.92,5.46,-1.45,135,305,418,13.77,0.332,-2.02,2.91,-170
Curtis Jones,Liverpool FC,7.72,6.27,-1.45,65,211,418,15.18,0.346,-1.66,4.09,-146
Alex Iwobi,Fulham,6.29,4.5,-1.79,1,2,2,14.49,0.35,-0.18,4.45,-1
