label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
global_z · xP+residual only (50/50/0) · P90 global,10.0,7.873,27.347,0.6472,0.848,0.7547,0.3052,0.223,0.7668,2.832,3.087,1.627
global_z · xP+residual only (50/50/0) · P90 per-band,10.0,10.0,10.001,0.7113,0.9202,0.7127,0.3099,0.2217,0.7388,2.365,3.036,1.516
global_z · xP+residual only (50/50/0) · P92 global,7.5,5.922,20.373,0.6321,0.8276,0.7739,0.3158,0.2458,0.8032,2.861,3.338,1.689
global_z · xP+residual only (50/50/0) · P92 per-band,7.5,7.5,7.502,0.8224,0.9251,0.7426,0.3184,0.2439,0.7832,2.558,3.269,1.614
global_z · xP+residual only (50/50/0) · P95 global,5.0,3.955,13.521,0.4979,0.7396,0.7918,0.327,0.2752,0.838,2.857,3.655,1.742
global_z · xP+residual only (50/50/0) · P95 per-band,5.0,5.0,5.001,0.6537,0.8262,0.7676,0.3282,0.2731,0.8211,2.659,3.586,1.685
global_z · xP+residual only (50/50/0) · P97 global,3.0,2.387,8.004,0.3552,0.6549,0.8028,0.3362,0.3086,0.8572,2.808,4.014,1.754
global_z · xP+residual only (50/50/0) · P97 per-band,3.0,3.0,3.0,0.4034,0.655,0.7858,0.3367,0.3059,0.8552,2.688,3.93,1.745
global_z · PCA band (0.31/0.51/0.17) · P90 global,10.0,8.177,24.863,0.6549,0.8634,0.7416,0.3067,0.2263,0.7819,2.608,3.204,1.676
global_z · PCA band (0.31/0.51/0.17) · P90 per-band,10.0,10.0,10.001,0.7147,0.9092,0.7037,0.3109,0.2237,0.7632,2.225,3.107,1.6
global_z · PCA band (0.31/0.51/0.17) · P92 global,7.5,6.139,18.602,0.6458,0.8253,0.762,0.3168,0.2487,0.8166,2.677,3.439,1.732
global_z · PCA band (0.31/0.51/0.17) · P92 per-band,7.5,7.5,7.502,0.8078,0.9092,0.733,0.3192,0.2461,0.8006,2.402,3.34,1.672
global_z · PCA band (0.31/0.51/0.17) · P95 global,5.0,4.1,12.343,0.5126,0.7412,0.7815,0.3275,0.2778,0.8452,2.725,3.741,1.764
global_z · PCA band (0.31/0.51/0.17) · P95 per-band,5.0,5.0,5.001,0.6335,0.8126,0.7582,0.3287,0.2754,0.8334,2.522,3.659,1.723
global_z · PCA band (0.31/0.51/0.17) · P97 global,3.0,2.476,7.277,0.3683,0.6459,0.794,0.3365,0.3108,0.8647,2.726,4.09,1.775
global_z · PCA band (0.31/0.51/0.17) · P97 per-band,3.0,3.0,3.0,0.4011,0.6625,0.7793,0.3369,0.3075,0.8628,2.621,3.984,1.768
global_z · PCA band (0.31/0.51/0.17) · P90 score + progress≥P60,9.292,7.533,23.635,0.6321,0.8183,0.751,0.3091,0.2269,0.8323,2.649,3.103,1.853
global_z · Inv-var band (0.34/0.18/0.49) · P90 global,10.0,7.77,28.187,0.5571,0.8089,0.7694,0.3036,0.209,0.8492,3.054,2.628,1.932
global_z · Inv-var band (0.34/0.18/0.49) · P90 per-band,10.0,10.0,10.001,0.6164,0.8432,0.7258,0.3085,0.2042,0.8608,2.548,2.498,1.961
global_z · Inv-var band (0.34/0.18/0.49) · P92 global,7.5,5.764,21.658,0.5709,0.7691,0.7907,0.3145,0.2314,0.8822,3.08,2.878,1.964
global_z · Inv-var band (0.34/0.18/0.49) · P92 per-band,7.5,7.5,7.502,0.6973,0.8687,0.7551,0.3174,0.2302,0.8717,2.722,2.855,1.924
global_z · Inv-var band (0.34/0.18/0.49) · P95 global,5.0,3.708,15.539,0.4614,0.7126,0.8121,0.3259,0.2591,0.9074,3.063,3.155,1.965
global_z · Inv-var band (0.34/0.18/0.49) · P95 per-band,5.0,5.0,5.001,0.6374,0.7993,0.7804,0.3276,0.26,0.9003,2.804,3.201,1.942
global_z · Inv-var band (0.34/0.18/0.49) · P97 global,3.0,2.15,9.936,0.3162,0.5977,0.8282,0.3354,0.2902,0.9249,3.03,3.478,1.955
global_z · Inv-var band (0.34/0.18/0.49) · P97 per-band,3.0,3.0,3.0,0.4127,0.6659,0.7988,0.3363,0.294,0.917,2.809,3.607,1.933
global_z · Inv-var band (0.34/0.18/0.49) · P90 score + progress≥P60,9.938,7.709,28.113,0.5527,0.8027,0.7698,0.3039,0.2085,0.8529,3.052,2.615,1.945
band_z · Equal (⅓ each) · P90 global,10.0,10.445,6.369,0.6927,0.9096,0.7046,0.3108,0.2136,0.8,2.286,2.782,1.733
band_z · Equal (⅓ each) · P90 per-band,10.0,10.0,10.001,0.6913,0.9013,0.7161,0.3095,0.2172,0.8082,2.384,2.891,1.762
band_z · Equal (⅓ each) · P92 global,7.5,8.103,2.588,0.7603,0.8809,0.7287,0.3195,0.2328,0.8212,2.424,2.97,1.747
band_z · Equal (⅓ each) · P92 per-band,7.5,7.5,7.502,0.7732,0.8907,0.7469,0.318,0.2399,0.8366,2.584,3.144,1.798
band_z · Equal (⅓ each) · P95 global,5.0,5.577,0.3,0.6729,0.8342,0.7543,0.3289,0.2565,0.8539,2.564,3.23,1.793
